game_id,game_day,game_time,away_team,away_score,home_team,home_score
2017_01_KC_NE,2017-09-07,20:30,KC,42,NE,27
2017_01_NYJ_BUF,2017-09-10,13:00,NYJ,12,BUF,21
2017_01_ATL_CHI,2017-09-10,13:00,ATL,23,CHI,17
2017_01_BAL_CIN,2017-09-10,13:00,BAL,20,CIN,0
2017_01_PIT_CLE,2017-09-10,13:00,PIT,21,CLE,18
2017_01_ARI_DET,2017-09-10,13:00,ARI,23,DET,35
2017_01_JAX_HOU,2017-09-10,13:00,JAX,29,HOU,7
2017_01_OAK_TEN,2017-09-10,13:00,OAK,26,TEN,16
2017_01_PHI_WAS,2017-09-10,13:00,PHI,30,WAS,17
2017_01_IND_LA,2017-09-10,16:05,IND,9,LA,46
2017_01_SEA_GB,2017-09-10,16:25,SEA,9,GB,17
2017_01_CAR_SF,2017-09-10,16:25,CAR,23,SF,3
2017_01_NYG_DAL,2017-09-10,20:30,NYG,3,DAL,19
2017_01_NO_MIN,2017-09-11,19:10,NO,19,MIN,29
2017_01_LAC_DEN,2017-09-11,22:20,LAC,21,DEN,24
2017_02_HOU_CIN,2017-09-14,20:25,HOU,13,CIN,9
2017_02_CLE_BAL,2017-09-17,13:00,CLE,10,BAL,24
2017_02_BUF_CAR,2017-09-17,13:00,BUF,3,CAR,9
2017_02_ARI_IND,2017-09-17,13:00,ARI,16,IND,13
2017_02_TEN_JAX,2017-09-17,13:00,TEN,37,JAX,16
2017_02_PHI_KC,2017-09-17,13:00,PHI,20,KC,27
2017_02_NE_NO,2017-09-17,13:00,NE,36,NO,20
2017_02_MIN_PIT,2017-09-17,13:00,MIN,9,PIT,26
2017_02_CHI_TB,2017-09-17,13:00,CHI,7,TB,29
2017_02_MIA_LAC,2017-09-17,16:05,MIA,19,LAC,17
2017_02_NYJ_OAK,2017-09-17,16:05,NYJ,20,OAK,45
2017_02_DAL_DEN,2017-09-17,16:25,DAL,17,DEN,42
2017_02_WAS_LA,2017-09-17,16:25,WAS,27,LA,20
2017_02_SF_SEA,2017-09-17,16:25,SF,9,SEA,12
2017_02_GB_ATL,2017-09-17,20:30,GB,23,ATL,34
2017_02_DET_NYG,2017-09-18,20:30,DET,24,NYG,10
2017_03_LA_SF,2017-09-21,20:25,LA,41,SF,39
2017_03_DEN_BUF,2017-09-24,13:00,DEN,16,BUF,26
2017_03_NO_CAR,2017-09-24,13:00,NO,34,CAR,13
2017_03_PIT_CHI,2017-09-24,13:00,PIT,17,CHI,23
2017_03_ATL_DET,2017-09-24,13:00,ATL,30,DET,26
2017_03_CLE_IND,2017-09-24,13:00,CLE,28,IND,31
2017_03_TB_MIN,2017-09-24,13:00,TB,17,MIN,34
2017_03_HOU_NE,2017-09-24,13:00,HOU,33,NE,36
2017_03_MIA_NYJ,2017-09-24,13:00,MIA,6,NYJ,20
2017_03_NYG_PHI,2017-09-24,13:00,NYG,24,PHI,27
2017_03_SEA_TEN,2017-09-24,16:05,SEA,27,TEN,33
2017_03_CIN_GB,2017-09-24,16:25,CIN,24,GB,27
2017_03_KC_LAC,2017-09-24,16:25,KC,24,LAC,10
2017_03_OAK_WAS,2017-09-24,20:30,OAK,10,WAS,27
2017_03_BAL_JAX,2017-09-24,21:30,BAL,7,JAX,44
2017_03_DAL_ARI,2017-09-25,20:30,DAL,28,ARI,17
2017_04_CHI_GB,2017-09-28,20:25,CHI,14,GB,35
2017_04_BUF_ATL,2017-10-01,13:00,BUF,23,ATL,17
2017_04_PIT_BAL,2017-10-01,13:00,PIT,26,BAL,9
2017_04_CIN_CLE,2017-10-01,13:00,CIN,31,CLE,7
2017_04_LA_DAL,2017-10-01,13:00,LA,35,DAL,30
2017_04_TEN_HOU,2017-10-01,13:00,TEN,14,HOU,57
2017_04_DET_MIN,2017-10-01,13:00,DET,14,MIN,7
2017_04_CAR_NE,2017-10-01,13:00,CAR,33,NE,30
2017_04_JAX_NYJ,2017-10-01,13:00,JAX,20,NYJ,23
2017_04_SF_ARI,2017-10-01,16:05,SF,15,ARI,18
2017_04_PHI_LAC,2017-10-01,16:05,PHI,26,LAC,24
2017_04_NYG_TB,2017-10-01,16:05,NYG,23,TB,25
2017_04_OAK_DEN,2017-10-01,16:25,OAK,10,DEN,16
2017_04_IND_SEA,2017-10-01,20:30,IND,18,SEA,46
2017_04_NO_MIA,2017-10-01,21:30,NO,20,MIA,0
2017_04_WAS_KC,2017-10-02,20:30,WAS,20,KC,29
2017_05_NE_TB,2017-10-05,20:25,NE,19,TB,14
2017_05_BUF_CIN,2017-10-08,13:00,BUF,16,CIN,20
2017_05_NYJ_CLE,2017-10-08,13:00,NYJ,17,CLE,14
2017_05_CAR_DET,2017-10-08,13:00,CAR,27,DET,24
2017_05_SF_IND,2017-10-08,13:00,SF,23,IND,26
2017_05_TEN_MIA,2017-10-08,13:00,TEN,10,MIA,16
2017_05_LAC_NYG,2017-10-08,13:00,LAC,27,NYG,22
2017_05_ARI_PHI,2017-10-08,13:00,ARI,7,PHI,34
2017_05_JAX_PIT,2017-10-08,13:00,JAX,30,PIT,9
2017_05_SEA_LA,2017-10-08,16:05,SEA,16,LA,10
2017_05_BAL_OAK,2017-10-08,16:05,BAL,30,OAK,17
2017_05_GB_DAL,2017-10-08,16:25,GB,35,DAL,31
2017_05_KC_HOU,2017-10-08,20:30,KC,42,HOU,34
2017_05_MIN_CHI,2017-10-09,20:30,MIN,20,CHI,17
2017_06_PHI_CAR,2017-10-12,20:25,PHI,28,CAR,23
2017_06_MIA_ATL,2017-10-15,13:00,MIA,20,ATL,17
2017_06_CHI_BAL,2017-10-15,13:00,CHI,27,BAL,24
2017_06_CLE_HOU,2017-10-15,13:00,CLE,17,HOU,33
2017_06_GB_MIN,2017-10-15,13:00,GB,10,MIN,23
2017_06_DET_NO,2017-10-15,13:00,DET,38,NO,52
2017_06_NE_NYJ,2017-10-15,13:00,NE,24,NYJ,17
2017_06_SF_WAS,2017-10-15,13:00,SF,24,WAS,26
2017_06_TB_ARI,2017-10-15,16:05,TB,33,ARI,38
2017_06_LA_JAX,2017-10-15,16:05,LA,27,JAX,17
2017_06_PIT_KC,2017-10-15,16:25,PIT,19,KC,13
2017_06_LAC_OAK,2017-10-15,16:25,LAC,17,OAK,16
2017_06_NYG_DEN,2017-10-15,20:30,NYG,23,DEN,10
2017_06_IND_TEN,2017-10-16,20:30,IND,22,TEN,36
2017_07_KC_OAK,2017-10-19,20:25,KC,30,OAK,31
2017_07_TB_BUF,2017-10-22,13:00,TB,27,BUF,30
2017_07_CAR_CHI,2017-10-22,13:00,CAR,3,CHI,17
2017_07_TEN_CLE,2017-10-22,13:00,TEN,12,CLE,9
2017_07_NO_GB,2017-10-22,13:00,NO,26,GB,17
2017_07_JAX_IND,2017-10-22,13:00,JAX,27,IND,0
2017_07_ARI_LA,2017-10-22,13:00,ARI,0,LA,33
2017_07_NYJ_MIA,2017-10-22,13:00,NYJ,28,MIA,31
2017_07_BAL_MIN,2017-10-22,13:00,BAL,16,MIN,24
2017_07_DAL_SF,2017-10-22,16:05,DAL,40,SF,10
2017_07_DEN_LAC,2017-10-22,16:25,DEN,0,LAC,21
2017_07_SEA_NYG,2017-10-22,16:25,SEA,24,NYG,7
2017_07_CIN_PIT,2017-10-22,16:25,CIN,14,PIT,29
2017_07_ATL_NE,2017-10-22,20:30,ATL,7,NE,23
2017_07_WAS_PHI,2017-10-23,20:30,WAS,24,PHI,34
2017_08_MIA_BAL,2017-10-26,20:25,MIA,0,BAL,40
2017_08_OAK_BUF,2017-10-29,13:00,OAK,14,BUF,34
2017_08_IND_CIN,2017-10-29,13:00,IND,23,CIN,24
