pf_name,pl_name,team_name,xp_made,xp_att,fg_made,fg_att
Jason,Myers,SEA,26,27,19,20
Ryan,Succop,TB,26,28,22,25
Justin,Tucker,BAL,26,29,18,20
Nick,Folk,NE,26,30,19,21
Tyler,Bass,BUF,26,31,15,18
Daniel,Carlson,LV,26,32,18,18
Graham,Gano,NYG,26,33,18,20
Younghoe,Koo,ATL,26,34,16,20
Eddy,Pineiro,CAR,26,35,18,20
Greg,Zuerlein,NYJ,26,36,16,19
Brett,Maher,DAL,26,37,15,17
Wil,Lutz,NO,26,38,15,20
Jason,Sanders,MIA,26,39,13,17
Ka'imi,Fairbairn,HOU,26,40,17,19
Cade,York,CLE,26,41,15,19
Riley,Patterson,JAX,26,42,14,18
Greg,Joseph,MIN,26,43,13,18
Robbie,Gould,SF,26,44,13,16
Cairo,Santos,CHI,26,45,14,14
Chase,McLaughlin,IND,26,46,16,19
Brandon,McManus,DEN,26,47,16,20
Evan,McPherson,CIN,26,48,11,15
Joey,Slye,WAS,26,49,13,15
Randy,Bullock,TEN,26,50,11,13
Matt,Gay,LA,26,51,12,13
Mason,Crosby,GB,26,52,10,13
Chris,Boswell,PIT,26,53,12,16
Jake,Elliott,PHI,26,54,6,8
Dustin,Hopkins,LAC,26,55,9,10
Michael,Badgley,CHI,26,56,9,9
Matt,Prater,ARI,26,57,8,8
Harrison,Butker,KC,26,58,5,8
Cameron,Dicker,PHI,26,59,7,7
Matthew,Wright,KC,26,60,5,8
Austin,Seibert,DET,26,61,3,5
Matt,Ammendola,ARI,26,62,5,7
Rodrigo,Blankenship,ARI,26,63,4,5
Taylor,Bertolet,LAC,26,64,3,3
Tristan,Vizcaino,ARI,26,65,2,2
Nick,Sciba,PIT,26,66,2,2
Dominik,Eberle,DET,26,67,1,1
Justin,Reid,KC,26,68,0,0
Mitch,Wishnowsky,SF,26,69,0,0
