pf_name,pl_name,team_name,pass_att,pass_comp,comp_pct,pass_yds,pass_ypg,pass_td,pass_int,rush_att,rush_yds,rush_avg,rush_ypg,rush_td,rec,rec_yds,rec_avg,rec_ypg,rec_td,tar,yac
A.J.,Brown,PHI,0,0,0,0,0,0,0,0,0,0,0,0,44,725,16.48,80.6,6,73,273
A.J.,Green,ARI,0,0,0,0,0,0,0,0,0,0,0,0,12,66,5.5,8.2,1,25,12
Aaron,Jones,GB,0,0,0,0,0,0,0,131,738,5.63,73.8,2,34,228,6.71,22.8,3,42,240
Aaron,Rodgers,GB,337,219,65,2315,6.9,17,7,16,64,4,6.4,0,0,0,0,0,0,0,0
Adam,Prentice,NO,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0.5,0,1,-1
Adam,Thielen,MIN,0,0,0,0,0,0,0,0,0,0,0,0,43,467,10.86,51.9,2,64,95
Adam,Trautman,NO,0,0,0,0,0,0,0,0,0,0,0,0,10,116,11.6,14.5,1,12,51
AJ,Dillon,GB,0,0,0,0,0,0,0,111,454,4.09,45.4,1,16,99,6.19,9.9,0,25,87
Albert,Okwuegbunam,DEN,0,0,0,0,0,0,0,0,0,0,0,0,7,50,7.14,10,0,11,39
Alec,Ingold,MIA,0,0,0,0,0,0,0,5,6,1.2,0.6,1,10,83,8.3,8.3,1,12,66
Alec,Pierce,IND,0,0,0,0,0,0,0,0,0,0,0,0,25,396,15.84,44,1,42,69
Alexander,Horvath,LAC,0,0,0,0,0,0,0,3,5,1.67,0.6,0,5,8,1.6,0.9,2,8,1
Alexander,Mattison,MIN,0,0,0,0,0,0,0,40,149,3.73,16.6,2,10,66,6.6,7.3,1,13,74
Allen,Lazard,GB,0,0,0,0,0,0,0,0,0,0,0,0,33,472,14.3,59,5,55,177
Allen,Robinson,LA,0,0,0,0,0,0,0,0,0,0,0,0,29,292,10.07,32.4,2,47,60
Alvin,Kamara,NO,0,0,0,0,0,0,0,112,469,4.19,58.6,1,39,338,8.67,42.2,2,53,320
Amari,Cooper,CLE,0,0,0,0,0,0,0,0,0,0,0,0,42,585,13.93,65,5,69,122
Amari,Rodgers,GB,0,0,0,0,0,0,0,0,0,0,0,0,4,50,12.5,5,0,8,16
Ameer,Abdullah,LV,0,0,0,0,0,0,0,0,0,0,0,0,12,99,8.25,11,0,16,105
Amon-Ra,St. Brown,DET,0,0,0,0,0,0,0,3,70,23.33,8.8,0,49,518,10.57,64.8,3,70,278
Andre,Baccellia,ARI,0,0,0,0,0,0,0,0,0,0,0,0,4,25,6.25,5,0,6,9
Andrew,Beck,DEN,0,0,0,0,0,0,0,1,-1,-1,-0.1,0,3,59,19.67,7.4,0,6,38
Andy,Dalton,NO,217,141,65,1559,7.2,11,7,17,34,2,4.9,0,0,0,0,0,0,0,0
Andy,Isabella,ARI,0,0,0,0,0,0,0,0,0,0,0,0,2,21,10.5,7,0,5,5
Anthony,Firkser,ATL,0,0,0,0,0,0,0,0,0,0,0,0,3,39,13,7.8,0,4,10
Anthony,Schwartz,CLE,0,0,0,0,0,0,0,2,20,10,2.5,0,2,22,11,2.8,0,7,7
Antonio,Gibson,WAS,0,0,0,0,0,0,0,103,372,3.61,37.2,3,34,253,7.44,25.3,2,41,208
Armani,Rogers,WAS,0,0,0,0,0,0,0,1,24,24,2.4,0,5,64,12.8,6.4,0,6,57
Ashton,Dulin,IND,0,0,0,0,0,0,0,1,3,3,0.5,0,12,168,14,28,0,18,31
Ashtyn,Davis,NYJ,0,0,0,0,0,0,0,1,2,2,0.2,0,0,0,0,0,0,0,0
Austin,Ekeler,LAC,0,0,0,0,0,0,0,104,451,4.34,50.1,6,67,420,6.27,46.7,4,81,504
Austin,Hooper,TEN,0,0,0,0,0,0,0,0,0,0,0,0,17,191,11.24,21.2,0,25,50
Avery,Williams,ATL,0,0,0,0,0,0,0,14,83,5.93,8.3,1,8,35,4.38,3.5,0,9,54
Bailey,Zappe,NE,0,0,0,0,0,0,0,10,0,0,0,0,1,-6,-6,-1.5,0,1,2
Baker,Mayfield,CAR,173,98,56.6,1117,6.5,6,4,14,40,2.86,6.7,1,0,0,0,0,0,0,0
Ben,Ellefson,MIN,0,0,0,0,0,0,0,0,0,0,0,0,3,26,8.67,6.5,0,3,11
Bennett,Skowronek,LA,0,0,0,0,0,0,0,1,17,17,1.9,1,26,245,9.42,27.2,0,39,109
Boston,Scott,PHI,0,0,0,0,0,0,0,25,76,3.04,10.9,1,1,2,2,0.3,0,1,0
Brandin,Cooks,HOU,0,0,0,0,0,0,0,1,5,5,0.6,0,36,391,10.86,48.9,1,60,101
Brandon,Aiyuk,SF,0,0,0,0,0,0,0,1,7,7,0.8,0,44,567,12.89,63,4,62,236
Brandon,Allen,CIN,0,0,0,0,0,0,0,3,-1,-0.33,-1,0,0,0,0,0,0,0,0
Brandon,Bolden,LV,0,0,0,0,0,0,0,8,34,4.25,4.2,0,8,53,6.63,6.6,1,8,27
Brandon,Powell,LA,0,0,0,0,0,0,0,8,9,1.13,1,0,10,74,7.4,8.2,0,12,78
Braxton,Berrios,NYJ,0,0,0,0,0,0,0,7,82,11.71,9.1,2,12,69,5.75,7.7,0,17,51
Braylon,Sanders,MIA,0,0,0,0,0,0,0,0,0,0,0,0,2,17,8.5,17,0,2,3
Breece,Hall,NYJ,0,0,0,0,0,0,0,80,463,5.79,66.1,4,19,218,11.47,31.1,1,31,171
Breshad,Perriman,TB,0,0,0,0,0,0,0,2,-7,-3.5,-0.9,0,8,101,12.63,12.6,1,16,45
Brett,Rypien,DEN,0,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,0,0
Brevin,Jordan,HOU,0,0,0,0,0,0,0,0,0,0,0,0,6,32,5.33,6.4,0,17,33
Brian,Robinson,WAS,0,0,0,0,0,0,0,93,305,3.28,50.8,2,4,7,1.75,1.2,0,4,22
Brock,Purdy,SF,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Brock,Wright,DET,0,0,0,0,0,0,0,0,0,0,0,0,7,90,12.86,10,1,8,60
Bryan,Anger,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,Edwards,ATL,0,0,0,0,0,0,0,0,0,0,0,0,3,15,5,2.1,0,5,9
Bryce,Perkins,LA,0,0,0,0,0,0,0,3,4,1.33,4,0,0,0,0,0,0,0,0
Brycen,Hopkins,LA,0,0,0,0,0,0,0,0,0,0,0,0,1,11,11,1.8,0,3,7
Byron,Pringle,CHI,0,0,0,0,0,0,0,0,0,0,0,0,3,45,15,11.2,0,5,4
C.J.,Beathard,JAX,0,0,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,0,0,0,0
